,true nonDRNA,true RNA,true DNA,true DRNA,class precision
pred. nonDRNA,7794,390,369,22,90.89%
pred. RNA,27,130,21,0,73.03%
pred. DNA,5,3,1,0,11.11%
pred. DRNA,0,0,0,0,0.00%
class recall,99.59%,24.86%,0.26%,0.00%,
